"Completeness_bins","Conciseness_bins","cor.mean_bins","cov.mean_bins","eigenvalues.mean_bins","g_mean.mean_bins","h_mean.mean_bins","iq_range.mean_bins","kurtosis.mean_bins","mad.mean_bins","max.mean_bins","mean.mean_bins","median.mean_bins","min.mean_bins","nr_cor_attr_bins","nr_norm_bins","nr_outliers_bins","range.mean_bins","sd.mean_bins","skewness.mean_bins","sparsity.mean_bins","t_mean.mean_bins","var.mean_bins","LabelIssues_bins","ClassImbRatio_bins","OutlierPerc_bins","ClassOverlapPerc_bins","attr_to_inst_bins","inst_to_attr_bins","nr_attr_bins","nr_inst_bins","nr_num_bins","nr_bin_bins","attr_conc.mean_bins","cEntropy_bins","ena_bins","snr.mean_bins","nUnique_bins","attr_ent.mean_bins","File","FeatureAlgo","alpha","beta"
"No","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","No","small","small","small","small","small","small","small","small","small","small","small","small","chronic_kidney_disease_full.csv","relief",0.1,0.08
"No","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","Yes","Yes","Yes","big","small","small","small","small","small","small","big","small","small","small","small","Autism-Adolescent-Data.csv","chisquare",0.1,0.08
"Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","No","No","small","small","small","small","small","small","small","big","small","small","small","small","SouthGermanCredit.asc","cfs",0.1,0.08
"Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","yes","No","No","Yes","big","small","big","small","big","small","small","big","small","small","small","small","Z-Alizadeh sani dataset.xlsx","chisquare",0.1,0.08
"Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","Yes","Yes","small","small","small","small","small","small","small","big","small","small","small","big","Data_User_Modeling_Dataset_Hamdi Tolga KAHRAMAN.csv","GR",0.1,0.08
"No","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","yes","No","Yes","Yes","big","small","small","small","small","small","small","big","small","small","small","small","non-verbal tourist data.csv","chisquare",0.1,0.08
"No","No","small","small","small","small","small","small","big","small","small","small","small","small","small","small","big","small","small","big","small","small","small","no","No","No","Yes","small","small","big","small","big","small","small","small","small","small","small","big","1year.csv","chisquare",0.1,0.08
"No","No","small","small","small","small","small","small","big","small","small","small","small","small","small","small","big","small","small","big","small","small","small","no","No","No","Yes","small","small","big","small","big","small","small","small","small","small","small","big","2year.csv","relief",0.1,0.08
"No","No","small","small","small","small","small","small","big","small","small","small","small","small","small","small","big","small","small","big","small","small","small","no","No","No","Yes","small","small","big","small","big","small","small","small","small","small","small","big","3year.csv","GR",0.1,0.08
"No","No","small","small","small","small","small","small","big","small","small","small","small","small","small","small","big","small","small","big","small","small","small","no","No","No","Yes","small","small","big","small","big","small","small","small","small","small","small","big","4year.csv","relief",0.1,0.08
"No","No","small","small","small","small","small","small","big","small","small","small","small","small","small","small","big","small","small","small","small","small","small","no","No","No","Yes","small","small","big","small","big","small","small","small","small","small","small","big","5year.csv","chisquare",0.1,0.08
"Yes","Yes","big","small","small","small","small","small","small","small","small","small","small","small","big","small","small","small","small","small","small","small","small","yes","No","No","No","small","small","small","small","small","small","big","big","small","small","big","big","abalone.data","relief",0.1,0.08
"Yes","Yes","big","small","small","small","small","small","small","small","small","small","small","small","big","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","big","small","small","small","small","big","abalone9-18.csv","relief",0.1,0.08
"No","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","No","small","big","small","big","small","small","small","big","small","small","small","small","adult.csv","MI",0.1,0.08
"No","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","No","No","small","small","small","small","small","small","small","big","small","small","small","small","agaricus-lepiota.data","GR",0.1,0.08
"No","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","yes","No","No","No","small","small","small","small","small","small","big","small","small","small","small","big","Algerian_forest_fires_dataset_UPDATE.csv","chisquare",0.1,0.08
"Yes","Yes","big","small","small","small","small","small","small","small","small","small","small","small","big","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","big","big","small","small","small","small","appendicitis.csv","MI",0.1,0.08
"No","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","Yes","No","No","small","small","small","small","small","small","big","big","small","small","small","small","audit_risk.csv","chisquare",0.1,0.08
"No","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","No","Yes","small","small","small","small","small","small","big","big","small","small","small","small","audit_trial.csv","chisquare",0.1,0.08
"No","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","No","No","small","small","small","small","small","small","small","big","small","small","small","small","Autism-Adult-Data.csv","relief",0.1,0.08
"No","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","Yes","Yes","Yes","small","small","small","small","small","small","small","big","small","small","small","small","Autism-Child-Data.csv","GR",0.1,0.08
"No","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","yes","No","No","Yes","small","small","small","small","small","small","small","big","small","small","small","small","Automobile_data.csv","chisquare",0.1,0.08
"Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","yes","No","Yes","Yes","big","small","small","small","small","small","big","big","small","small","small","small","automobileimbalance.csv","chisquare",0.1,0.08
